iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
HTI,North America,Haiti,7/26/2020,7297,37,156,0,639.946,3.245,13.681,0,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64
HND,North America,Honduras,7/26/2020,38438,879,1098,37,3880.82,88.747,110.857,3.736,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27
HUN,Europe,Hungary,7/26/2020,4435,11,596,0,459.093,1.139,61.695,0,,,,,,,,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88
ISL,Europe,Iceland,7/26/2020,1843,0,10,0,5400.733,0,29.304,0,,,,,,,,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99
IND,Asia,India,7/26/2020,1385522,48661,32063,705,1003.998,35.261,23.234,0.511,442263,16291331,11.805,0.32,357066,0.259,samples tested,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
IDN,Asia,Indonesia,7/26/2020,97286,1868,4714,49,355.677,6.829,17.234,0.179,7692,796950,2.914,0.028,12816,0.047,people tested,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72
IRN,Asia,Iran,7/26/2020,284034,0,15074,0,3381.641,0,179.467,0,,,,,,,,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68
IRQ,Asia,Iraq,7/26/2020,107573,2862,4284,72,2674.448,71.154,106.508,1.79,,,,,,,,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6
IRL,Europe,Ireland,7/26/2020,25869,24,1764,1,5238.977,4.86,357.244,0.203,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3
IMN,Europe,Isle of Man,7/26/2020,336,0,24,0,3951.454,0,282.247,0,,,,,,,,,85032,147.872,,,,,,,,,,,,81.4
ISR,Asia,Israel,7/26/2020,60678,1203,457,9,7010.307,138.986,52.799,1.04,,,,,,,,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97
ITA,Europe,Italy,7/26/2020,245864,274,35102,5,4066.433,4.532,580.565,0.083,40526,6560572,108.508,0.67,46075,0.762,tests performed,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51
JAM,North America,Jamaica,7/26/2020,837,16,10,0,282.659,5.403,3.377,0,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
